fid,PA,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,mlotst_108,mlotst_107,mlotst_106,mlotst_105,mlotst_104,mlotst_103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,bat,Long,Lat
"52",1,1.06093,0.34858,0.78202,0.79809,0.26497,,11.90222,10.83407,12.36,12.97037,13.27555,140.38515,279.09567,279.34076,277.00363,275.08603,,274.39053,-772,-21.0416666666667,67.7083333333333
"53",1,0.45127,0.46727,0.62967,0.2544,0.25831,0.201,11.59703,11.13926,13.27555,15.56444,76.60146,127.71997,279.20792,278.13861,275.47162,274.31229,274.12189,273.91342,-1067,-17.875,67.7083333333333
"54",0,0.58474,0.41104,0.67584,0.33549,0.26225,0.25969,11.29185,10.68148,14.19111,26.85629,129.2459,144.19997,280.22485,278.96558,275.61935,274.4241,273.81787,274.72787,-927,-15.9583333333333,67.7083333333333
"55",0,0.57684,0.3724,0.66405,0.34909,0.2553,0.25167,11.29185,10.68148,14.19111,27.31407,128.02515,137.79108,280.21225,278.91132,275.59262,274.48416,273.69171,274.63318,-946,-15.875,67.7083333333333
"56",0,0.40329,0.21537,0.29882,0.76888,0.37423,0.31889,12.2074,10.68148,14.80148,23.49925,114.90219,133.36589,279.85831,278.44958,275.27634,273.46054,272.64682,272.56491,-1610,-13.4583333333333,67.7083333333333
"57",0,0.38731,0.24482,0.27078,0.81646,0.37323,0.31,12.2074,10.68148,14.64889,23.34666,117.49627,135.65479,279.87622,278.50803,275.32733,273.50681,272.64883,272.58615,-1580,-13.375,67.7083333333333
"58",0,0.36079,0.34796,0.26848,0.86281,0.38717,0.32072,12.36,10.68148,14.49629,23.34666,120.39552,137.3333,279.89548,278.59387,275.37457,273.54648,272.64734,272.6113,-1586,-13.2916666666667,67.7083333333333
"59",1,0.36787,0.54707,0.2746,0.89957,0.37762,0.33771,12.36,10.68148,14.3437,23.49925,127.87256,141.91107,279.91687,278.70172,275.42462,273.58191,272.64243,272.63748,-1617,-13.2083333333333,67.7083333333333
"60",0,0.4438,0.54144,0.27356,0.70555,0.301,0.25901,13.42814,10.83407,13.12296,44.55703,268.5629,298.62363,280.78381,279.76453,276.34946,273.8743,273.01709,273.14969,-1763,-10.125,67.7083333333333
"61",0,0.44248,0.52377,0.29778,0.71845,0.30006,0.27594,13.42814,10.83407,13.12296,46.23554,260.93326,288.8577,280.81982,279.78915,276.36874,273.88858,273.03311,273.17111,-1767,-10.0416666666667,67.7083333333333
"62",0,0.59169,1.50927,0.27981,0.51881,0.28037,0.25368,12.51259,10.68148,13.58074,36.77481,181.12737,183.56885,280.89087,279.784,276.64801,274.01144,273.10114,273.30539,-1481,-9.29166666666667,67.7083333333333
