fid,PA,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,mlotst_108,mlotst_107,mlotst_106,mlotst_105,mlotst_104,mlotst_103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,bat,Long,Lat
"117",0,0.63077,0.55472,0.73041,2.13496,0.2793,0.26427,13.42814,11.90222,15.41185,26.7037,173.65033,213.01921,281.07089,280.99963,277.41797,276.17477,274.88144,275.59366,-296,-14.9583333333333,67.2083333333333
"118",0,0.93774,0.42753,0.37072,1.66215,0.35071,0.25401,12.81777,11.90222,17.54814,25.17777,198.82809,271.30957,280.5737,281.12198,278.22791,276.8237,275.36813,275.84921,-449,-19.0416666666667,67.125
"119",0,0.8499,0.41358,0.30811,1.62515,0.38179,0.24528,12.97037,11.74963,17.54814,25.63555,196.99699,272.22513,280.63654,281.19034,278.29126,276.73148,275.37448,275.81531,-452,-18.9583333333333,67.125
"120",0,0.84874,0.41498,0.32334,1.70897,0.33651,0.27125,12.81777,11.74963,17.54814,25.94073,195.62366,271.00436,280.69907,281.21356,278.29153,276.62381,275.35867,275.76398,-433,-18.875,67.125
"121",0,0.83722,0.44511,0.32218,1.62665,0.30825,0.25933,12.51259,11.74963,17.85333,26.39851,187.53625,255.89772,280.75192,281.1933,278.2359,276.50919,275.32449,275.70291,-330,-18.7916666666667,67.125
"122",0,0.75589,0.48273,0.32527,1.48468,0.28253,0.21563,12.2074,11.59703,18.31111,26.7037,201.26958,274.51401,280.78537,281.12756,278.12848,276.38821,275.27185,275.63174,-263,-18.7083333333333,67.125
"123",0,0.58733,0.47853,0.337,1.37911,0.28257,0.19655,12.2074,11.59703,18.4637,26.39851,202.49033,276.34512,280.78378,281.00021,277.96454,276.26865,275.20126,275.55984,-302,-18.625,67.125
"124",0,0.60055,0.45481,0.32782,1.62781,0.29259,0.20313,12.05481,11.59703,18.31111,25.48296,190.28291,258.64438,280.74707,280.84229,277.77786,276.15887,275.13681,275.49045,-409,-18.5416666666667,67.125
"125",0,0.64616,0.43226,1.03005,1.18814,0.28247,0.25018,13.58074,11.44444,15.25926,23.80444,139.77478,177.15996,281.41882,281.47586,277.55835,276.31241,275.00269,275.62366,-192,-15.375,67.125
"126",0,0.55574,0.43388,1.09648,1.37179,0.29197,0.24513,13.27555,11.29185,15.10666,23.34666,135.95996,171.66663,281.36118,281.4393,277.48398,276.28452,274.96179,275.62286,-188,-15.2916666666667,67.125
"127",0,0.5779,0.46227,1.24439,1.69346,0.28566,0.25975,12.97037,11.29185,14.95407,23.04148,137.94366,173.34514,281.29794,281.39526,277.41949,276.26453,274.92035,275.6261,-188,-15.2083333333333,67.125
"128",0,0.60081,0.52343,1.25491,2.01493,0.28599,0.26675,12.81777,11.59703,15.10666,23.95703,165.10515,199.28587,281.18762,281.29361,277.323,276.22803,274.87415,275.64444,-227,-15.0416666666667,67.125
"129",0,0.61338,0.52147,1.00107,2.40054,0.28144,0.26101,13.12296,11.74963,15.41185,24.71999,177.61774,207.67847,281.14737,281.24109,277.30032,276.20471,274.87708,275.6506,-255,-14.9583333333333,67.125
"130",0,1.3664,0.43998,0.42409,0.97038,0.22284,0.22422,11.44444,12.51259,16.02222,25.94073,164.64737,256.50809,280.00909,280.4433,278.27982,277.35089,275.33636,275.75818,-342,-19.625,67.0416666666667
"131",0,1.28094,0.42514,0.40801,0.9251,0.22364,0.22907,11.44444,12.36,16.17481,25.33036,165.41032,251.31993,280.09705,280.57629,278.18494,277.32321,275.31094,275.76535,-403,-19.5416666666667,67.0416666666667
"132",0,1.15083,0.41226,0.40086,0.84884,0.25268,0.22529,11.44444,12.36,16.17481,24.71999,164.037,256.20291,280.19955,280.72018,278.12778,277.29449,275.30075,275.76749,-495,-19.4583333333333,67.0416666666667
"133",0,1.10094,0.39154,0.37318,0.91583,0.25671,0.23897,11.44444,12.66518,16.48,23.19407,169.68292,263.06955,280.30994,280.86359,278.11011,277.26019,275.30319,275.77051,-458,-19.375,67.0416666666667
"134",0,1.08241,0.39448,0.33657,0.95059,0.2587,0.24408,11.44444,12.66518,16.63259,22.73629,175.78662,263.22217,280.41638,281.00253,278.13596,277.21405,275.32156,275.76617,-419,-19.2916666666667,67.0416666666667
"135",0,1.04528,0.41886,0.31177,0.97633,0.26087,0.24595,11.59703,12.51259,16.93777,22.73629,183.87402,261.69623,280.51437,281.1373,278.20209,277.14404,275.34586,275.76242,-452,-19.2083333333333,67.0416666666667
"136",0,1.0803,0.43664,0.3152,1.14856,0.27217,0.25338,11.74963,12.2074,16.93777,22.88888,198.37032,262.4592,280.60043,281.25958,278.28378,277.05005,275.36917,275.75616,-454,-19.125,67.0416666666667
"137",0,1.06321,0.4428,0.32576,1.27591,0.51213,0.24647,12.05481,12.2074,16.63259,23.19407,191.35106,255.13475,280.68948,281.37509,278.36255,276.95651,275.3862,275.74756,-462,-19.0416666666667,67.0416666666667
"138",0,0.59799,0.39412,1.40381,1.80009,0.2885,0.25704,12.81777,11.59703,14.95407,22.88888,151.06664,190.13033,281.26956,281.37595,277.26971,276.15329,274.89636,275.64368,-229,-14.875,67.0416666666667
"139",0,1.12118,0.4105,0.65984,0.94733,0.21744,0.24312,11.13926,12.05481,14.19111,25.63555,161.13774,262.61179,279.82983,280.35001,278.64133,277.55096,275.56647,275.93097,-329,-20.125,66.9583333333333
"140",0,1.15462,0.41519,0.65379,0.98807,0.21542,0.22955,11.13926,12.36,14.49629,25.78814,157.01775,245.8266,279.91229,280.36581,278.69183,277.57581,275.53351,275.89157,-337,-20.0416666666667,66.9583333333333
"141",0,1.21127,0.41265,0.60502,1.05346,0.21249,0.22914,11.29185,12.66518,14.80148,26.24592,158.54367,249.33623,279.98199,280.36893,278.71909,277.58444,275.50684,275.84818,-339,-19.9583333333333,66.9583333333333
"142",0,1.21745,0.40499,0.62262,1.16514,0.21293,0.23882,11.29185,12.81777,15.10666,26.85629,161.59552,258.034,280.03241,280.37106,278.71213,277.57071,275.47885,275.81528,-347,-19.875,66.9583333333333
"143",0,1.26563,0.40552,0.64224,1.26591,0.23807,0.23438,11.44444,12.97037,15.41185,27.16147,165.25774,267.03696,280.0766,280.38821,278.67209,277.55173,275.44623,275.79825,-362,-19.7916666666667,66.9583333333333
"144",0,1.21624,0.40698,0.57262,1.17441,0.24818,0.26649,11.44444,13.12296,15.86963,27.16147,173.95551,274.6666,280.12537,280.43307,278.60339,277.52747,275.41257,275.79788,-355,-19.7083333333333,66.9583333333333
"145",0,0.61975,0.36076,1.17372,0.88634,0.26921,0.25852,12.97037,11.44444,14.95407,22.27851,130.92441,170.90366,281.32306,281.38928,277.27988,276.0907,274.92334,275.5061,-177,-14.7916666666667,66.9583333333333
"146",1,0.64019,0.34172,1.34122,0.62785,0.26895,0.25592,13.27555,11.59703,15.10666,22.5837,142.52144,184.94217,281.29596,281.32214,277.31821,276.08188,274.91556,275.48544,-193,-14.7083333333333,66.9583333333333
"147",1,0.63529,0.33772,1.08323,0.59465,0.27703,0.26246,13.58074,11.59703,15.25926,22.73629,149.99847,193.18217,281.2666,281.23947,277.34558,276.08966,274.89966,275.4574,-204,-14.625,66.9583333333333
"148",1,0.63756,0.33371,1.07387,0.63592,0.28237,0.2637,13.88592,11.74963,15.25926,22.73629,152.59256,196.53922,281.23785,281.15607,277.35907,276.09753,274.87622,275.43066,-222,-14.5416666666667,66.9583333333333
"149",1,0.65541,0.34183,1.06548,0.59972,0.2876,0.26982,13.88592,11.74963,15.25926,22.73629,149.84589,196.23402,281.20975,281.07779,277.35617,276.10779,274.86166,275.40747,-206,-14.4583333333333,66.9583333333333
"150",1,0.70836,0.37239,1.16745,0.62631,0.28044,0.27568,14.03852,11.74963,15.25926,22.73629,144.65775,189.06218,281.18411,281.00827,277.34055,276.12225,274.85617,275.39136,-220,-14.375,66.9583333333333
"151",1,0.70119,0.38526,1.1095,0.74254,0.28138,0.27648,13.88592,11.74963,15.25926,22.88888,140.84293,183.72144,281.16489,280.95526,277.31763,276.13361,274.86969,275.38556,-235,-14.2916666666667,66.9583333333333
"152",1,0.68836,0.40973,1.03827,0.70386,0.2848,0.27579,13.88592,11.74963,15.25926,23.04148,137.94366,181.12737,281.14948,280.92358,277.29428,276.13721,274.90131,275.38327,-224,-14.2083333333333,66.9583333333333
"153",1,0.67084,0.42756,0.98562,0.7258,0.28767,0.27585,13.73333,11.74963,15.25926,23.19407,136.72293,181.73773,281.13626,280.91138,277.27478,276.13907,274.93893,275.37903,-238,-14.125,66.9583333333333
"154",0,0.66719,0.45288,1.15683,0.82143,0.28297,0.26519,13.73333,11.74963,15.25926,23.65185,135.95996,186.46811,281.12112,280.91638,277.26199,276.13251,274.98074,275.35022,-253,-14.0416666666667,66.9583333333333
"155",0,0.66489,0.48702,1.87582,0.70518,0.27644,0.25889,13.88592,11.74963,15.41185,23.80444,133.97626,189.51996,281.10281,280.93591,277.24976,276.11612,275.01468,275.29984,-257,-13.9583333333333,66.9583333333333
"156",0,0.70385,0.49157,1.07699,1.04901,0.2886,0.27049,13.88592,11.74963,15.56444,23.95703,130.00885,189.21477,281.08484,280.95886,277.23273,276.08667,275.03397,275.22894,-257,-13.875,66.9583333333333
"157",0,0.75474,0.48917,0.84595,1.2845,0.2796,0.27169,14.19111,11.90222,15.71703,23.65185,126.49923,191.65625,281.05804,280.97827,277.21048,276.04846,275.03433,275.14551,-296,-13.7916666666667,66.9583333333333
"158",0,0.78748,0.48908,0.71969,1.11896,0.27065,0.28066,14.3437,11.90222,15.86963,23.34666,122.37923,190.4355,281.02051,280.98016,277.18372,276.00745,275.01346,275.05466,-502,-13.7083333333333,66.9583333333333
"159",1,0.77948,0.50777,0.70237,0.98139,0.27324,0.28804,14.49629,11.90222,16.02222,23.04148,120.24294,185.24736,280.96994,280.94586,277.15005,275.95996,274.95712,274.96457,-614,-13.625,66.9583333333333
"160",0,0.74185,0.53087,0.73158,0.77131,0.26861,0.27317,14.64889,11.90222,16.17481,22.5837,121.31108,175.02367,280.90622,280.88702,277.11313,275.91714,274.87579,274.87738,-675,-13.5416666666667,66.9583333333333
"161",0,0.69562,0.49502,0.66118,0.68462,0.2743,0.26579,14.49629,11.59703,16.17481,21.82074,121.46368,162.35847,280.82748,280.80984,277.07248,275.87402,274.77567,274.7951,-721,-13.4583333333333,66.9583333333333
"162",1,0.67411,0.45657,0.59461,0.75327,0.27838,0.25604,14.49629,11.59703,16.02222,21.21037,118.8696,152.89774,280.73172,280.72058,277.02438,275.83701,274.66019,274.72586,-780,-13.375,66.9583333333333
"163",1,0.65788,0.387,0.60722,0.821,0.26304,0.25091,14.49629,11.44444,16.02222,20.59999,114.59701,143.5896,280.62018,280.63251,276.96777,275.79022,274.54028,274.66296,-908,-13.2916666666667,66.9583333333333
"164",1,0.68664,0.38536,0.56831,0.56419,0.28379,0.25522,14.19111,11.29185,14.95407,18.31111,96.59109,110.01923,280.24734,280.41998,276.81995,275.54156,274.22275,274.50278,-1431,-13.0416666666667,66.9583333333333
"165",1,0.59987,0.3799,0.60191,0.51388,0.29205,0.25608,14.03852,11.13926,14.49629,17.85333,91.09776,99.64294,280.13895,280.35205,276.79733,275.44589,274.15771,274.4556,-1450,-12.9583333333333,66.9583333333333
"166",0,1.1501,0.49734,0.67668,0.86141,0.21505,0.21545,11.74963,12.66518,14.03852,27.77184,133.51848,222.32735,279.26205,279.91891,278.48932,277.82413,275.7811,276.08481,-254,-20.7916666666667,66.875
"167",0,1.13469,0.4882,0.72167,0.91852,0.21589,0.23678,11.74963,12.66518,13.42814,27.00888,159.15404,240.94365,279.2825,279.96054,278.47327,277.72733,275.73468,276.03845,-280,-20.7083333333333,66.875
"168",1,1.13374,0.49791,0.77331,0.98446,0.20811,0.25429,11.44444,12.66518,13.27555,27.31407,164.64737,244.75845,279.32907,280.04712,278.47504,277.63364,275.69232,276.0033,-293,-20.625,66.875
"169",0,1.19213,0.45352,0.69292,0.92178,0.19877,0.22838,11.13926,12.66518,13.42814,27.31407,172.58218,258.3392,279.40518,280.16476,278.50455,277.55273,275.65393,275.98389,-295,-20.5416666666667,66.875
"170",0,1.11846,0.4405,0.6636,0.91651,0.21432,0.21256,11.13926,12.66518,13.88592,26.85629,181.12737,273.44586,279.50827,280.29504,278.56549,277.50317,275.61642,275.97736,-295,-20.4583333333333,66.875
"171",0,1.0829,0.42627,0.67205,0.91732,0.21555,0.21824,11.13926,12.81777,14.03852,24.87259,180.21181,272.98807,279.63394,280.40015,278.65286,277.48666,275.58551,275.97891,-317,-20.375,66.875
"172",0,1.01985,0.44031,0.60853,0.92131,0.21691,0.22416,11.29185,13.12296,14.03852,25.33036,184.94217,275.58215,279.77063,280.4787,278.74692,277.50082,275.5578,275.98318,-342,-20.2916666666667,66.875
"173",0,1.56871,0.44281,0.5668,0.84323,0.20747,0.23411,11.44444,13.27555,14.19111,26.24592,191.04588,289.77325,279.90045,280.53189,278.83594,277.5372,275.53806,275.98431,-369,-20.2083333333333,66.875
"174",0,0.66267,0.47365,0.73254,1.48343,0.27375,0.26406,14.19111,11.44444,15.10666,20.4474,115.05479,150.30367,280.79468,280.86389,277.12625,275.96475,274.87595,274.81912,-491,-13.2916666666667,66.875
"175",1,0.61423,0.45344,0.74174,1.90358,0.26961,0.25674,14.19111,11.44444,15.25926,20.4474,114.13923,148.01477,280.69357,280.83237,277.08203,275.92783,274.8067,274.75861,-699,-13.2083333333333,66.875
"176",1,0.60652,0.45668,0.80052,1.67087,0.2715,0.25556,14.3437,11.44444,15.41185,20.14222,115.05479,145.26811,280.58191,280.80582,277.04294,275.86148,274.72598,274.71445,-1022,-13.125,66.875
"177",0,0.59859,0.44011,0.92112,1.55105,0.27104,0.25729,14.49629,11.44444,15.25926,19.37926,112.46072,139.16441,280.46948,280.7818,277.00943,275.7713,274.63751,274.6864,-1306,-13.0416666666667,66.875
"178",0,0.57194,0.41567,0.94194,1.39767,0.27584,0.25826,14.49629,11.29185,15.10666,18.76888,107.73035,129.55109,280.36288,280.73999,276.98456,275.66983,274.54395,274.67371,-1299,-12.9583333333333,66.875
"179",1,0.5632,0.40544,0.91965,1.17514,0.28293,0.26395,14.49629,11.29185,14.80148,18.15851,102.23701,117.95405,280.27414,280.6636,276.95087,275.55652,274.4632,274.67584,-1317,-12.875,66.875
"180",0,0.47692,0.41884,0.99368,0.62611,0.28786,0.25845,14.19111,11.13926,14.3437,17.70074,97.50665,105.59405,280.2113,280.55069,276.90561,275.46509,274.39169,274.68146,-1374,-12.7916666666667,66.875
"181",0,0.47125,0.42895,0.95026,0.68826,0.28723,0.25306,13.73333,10.98666,14.03852,17.54814,88.35109,95.67553,280.17758,280.40942,276.84924,275.39719,274.33502,274.6828,-1382,-12.7083333333333,66.875
"182",0,0.47195,0.42624,0.91624,0.66303,0.28497,0.25151,13.42814,10.83407,13.88592,17.54814,77.51702,91.25035,280.17752,280.26172,276.78891,275.38098,274.29858,274.66144,-1403,-12.625,66.875
"183",0,0.49536,0.42687,0.92271,0.58062,0.2808,0.24908,12.97037,10.83407,13.73333,17.85333,68.36147,89.72442,280.19229,280.12955,276.75003,275.39316,274.26453,274.61102,-1419,-12.5416666666667,66.875
"184",0,0.62317,0.40534,0.88089,0.42919,0.27995,0.24278,12.51259,10.68148,13.73333,18.15851,64.54665,89.57183,280.21375,280.03342,276.73059,275.4274,274.23105,274.52911,-1436,-12.4583333333333,66.875
"185",0,0.66243,0.53921,0.73638,1.18975,0.24872,0.25975,11.29185,11.90222,14.19111,25.17777,76.75405,99.33775,279.55081,280.45242,279.00458,278.01523,275.83447,275.98959,-78,-21.2916666666667,66.7916666666667
"186",0,0.8959,0.55351,0.81759,1.24101,0.24241,0.25641,11.29185,11.74963,13.88592,26.39851,90.94516,121.92145,279.50418,280.35568,278.92316,278.04279,275.90622,276.0488,-93,-21.2083333333333,66.7916666666667
"187",0,0.92794,0.58301,0.89012,1.09565,0.22482,0.24321,11.29185,11.74963,13.88592,28.6874,107.73035,153.35551,279.47406,280.25659,278.83902,278.03134,275.93057,276.10825,-107,-21.125,66.7916666666667
"188",0,0.91068,0.56489,0.85525,1.03498,0.21576,0.23479,11.44444,12.05481,14.03852,32.50221,124.66811,193.63995,279.4491,280.16461,278.76944,277.99551,275.92041,276.15271,-175,-21.0416666666667,66.7916666666667
"189",0,0.88773,0.5264,0.78906,0.96959,0.21114,0.22057,11.59703,12.36,14.3437,30.21333,133.06071,231.6355,279.43494,280.08719,278.71597,277.9339,275.87842,276.17944,-208,-20.9583333333333,66.7916666666667
"190",0,0.84407,0.48224,0.76472,0.87858,0.20367,0.20337,11.44444,12.66518,14.03852,29.14518,156.55997,253.30363,279.43781,280.0434,278.68127,277.85068,275.80676,276.18011,-252,-20.875,66.7916666666667
"191",1,0.50825,0.41437,1.05961,1.3427,0.27286,0.26899,14.49629,11.29185,14.80148,18.61629,109.40886,145.87848,280.54675,280.73376,277.009,275.82309,274.72803,274.86252,-1114,-12.875,66.7916666666667
"192",0,0.51977,0.41267,1.15724,1.19486,0.27327,0.25727,14.64889,11.29185,14.64889,18.15851,106.20441,135.95996,280.48822,280.65674,276.96902,275.72989,274.64914,274.87683,-1238,-12.7916666666667,66.7916666666667
"193",1,0.55095,0.42837,1.20286,0.85864,0.27473,0.25884,14.80148,11.13926,14.3437,17.85333,98.26961,121.76886,280.45062,280.55063,276.91748,275.64615,274.5809,274.87598,-1247,-12.7083333333333,66.7916666666667
"194",0,0.60198,0.41257,1.20546,0.65916,0.28323,0.26279,14.64889,10.98666,14.3437,17.70074,81.33183,110.32442,280.43423,280.42432,276.8645,275.58508,274.53122,274.86316,-1301,-12.625,66.7916666666667
"195",0,1.10946,0.51555,0.75619,1.35301,0.25011,0.21994,11.44444,12.2074,15.10666,26.09333,80.26369,111.69775,279.59808,280.55984,279.06647,277.93646,275.75577,275.7923,-94,-21.4583333333333,66.7083333333333
"196",0,0.72209,0.50224,0.69251,1.1325,0.25221,0.21578,11.44444,12.05481,14.64889,27.31407,83.62072,114.44441,279.50156,280.47778,279.01743,277.98749,275.8475,275.83209,-93,-21.375,66.7083333333333
"197",1,0.59333,0.53158,0.97039,0.88922,0.27856,0.28706,14.64889,11.44444,15.41185,20.14222,124.05775,181.12737,280.95737,280.75336,277.09943,276.07892,274.9902,275.2316,-220,-13.125,66.7083333333333
"198",1,0.63031,0.49986,0.94799,0.9053,0.27594,0.28176,14.49629,11.29185,15.10666,19.68444,121.15849,179.75403,280.87775,280.73709,277.06946,276.07144,274.94284,275.1637,-204,-13.0416666666667,66.7083333333333
"199",0,0.64767,0.46932,0.93045,0.70354,0.27633,0.28433,14.64889,11.29185,14.95407,19.53185,125.43108,182.95847,280.80365,280.71774,277.03693,276.04846,274.8847,275.10638,-218,-12.9583333333333,66.7083333333333
"200",1,0.55677,0.41969,1.02754,1.15879,0.28285,0.27812,15.71703,11.74963,16.3274,20.90518,139.16441,195.31847,281.19696,280.80106,277.17892,275.97098,275.01288,275.47195,-203,-13.375,66.625
"201",1,0.50991,0.41591,1.04688,1.17098,0.28265,0.27695,16.02222,11.90222,16.78518,21.66814,144.65775,201.87994,281.12836,280.78049,277.16376,275.99622,274.9993,275.47815,-205,-13.2916666666667,66.625
"202",1,0.48619,0.48059,1.01558,1.15754,0.28573,0.26895,16.17481,11.90222,16.78518,21.51555,145.4207,203.10069,281.05862,280.7652,277.14691,276.02548,274.9816,275.46973,-228,-13.2083333333333,66.625
"203",0,0.50603,0.56653,0.97322,0.90571,0.27483,0.26653,16.17481,11.74963,16.78518,21.05777,139.92737,192.26662,280.98911,280.75552,277.12494,276.05441,274.95291,275.43591,-246,-13.125,66.625
"204",0,0.69379,0.58571,0.37129,1.65698,0.32805,0.2966,10.68148,10.83407,12.97037,16.48,107.27257,144.19997,282.33588,282.28912,278.80283,276.99115,275.62289,275.73508,-207,-17.2916666666667,66.5416666666667
"205",0,0.66662,0.54293,0.43446,1.35965,0.36096,0.30658,10.68148,10.68148,12.97037,15.71703,99.49035,131.83997,282.40482,282.25214,278.79877,277.0184,275.60144,275.68546,-139,-17.2083333333333,66.5416666666667
"206",0,0.6003,0.43474,0.92178,0.78372,0.27478,0.28817,14.64889,11.44444,15.56444,19.83703,137.79108,193.18217,281.33374,280.96915,277.29095,276.02914,275.01974,275.37076,-205,-13.625,66.5416666666667
"207",1,0.60198,0.44776,0.88352,0.97764,0.28446,0.30177,15.41185,11.59703,15.86963,19.68444,138.09627,197.30217,281.28534,280.91907,277.25549,275.9938,275.00598,275.39145,-229,-13.5416666666667,66.5416666666667
"208",1,0.59281,0.46647,0.85356,1.02729,0.28428,0.28993,16.17481,11.59703,16.02222,19.68444,143.74219,200.65921,281.23077,280.88501,277.23227,275.97388,274.99274,275.41376,-228,-13.4583333333333,66.5416666666667
"209",1,0.57779,0.46788,0.9483,1.00813,0.2799,0.28015,16.78518,11.59703,16.02222,19.53185,138.70663,191.50366,281.17371,280.87143,277.23596,275.9653,274.98291,275.44254,-266,-13.375,66.5416666666667
"210",0,0.76164,0.54276,0.33381,1.94883,0.37122,0.30647,10.68148,10.83407,13.42814,15.56444,121.76886,199.28587,282.23849,282.27438,278.94492,277.08902,275.7178,275.68719,-228,-17.4583333333333,66.4583333333333
"211",0,0.71717,0.59692,0.40617,1.72333,0.37066,0.32085,10.68148,10.68148,13.12296,15.71703,112.91849,183.11107,282.2677,282.30371,278.93997,277.14575,275.69254,275.62622,-209,-17.375,66.4583333333333
"212",0,0.45713,0.439,1.57995,0.62741,0.26537,0.30548,13.58074,11.44444,14.95407,18.76888,125.27849,173.80292,281.46332,281.11026,277.3847,276.18674,274.98837,275.32291,-152,-13.875,66.4583333333333
"213",1,0.51893,0.43795,1.20344,0.69372,0.26812,0.28818,14.19111,11.44444,15.41185,19.07407,140.23256,195.92883,281.44257,281.08167,277.34488,276.14191,274.97342,275.31598,-185,-13.7916666666667,66.4583333333333
"214",0,0.66995,0.43542,1.12082,0.83293,0.2741,0.28184,14.95407,11.44444,15.71703,19.53185,145.26811,208.74661,281.41995,281.04965,277.30939,276.09842,274.96381,275.31543,-208,-13.7083333333333,66.4583333333333
"215",0,0.68687,0.49465,0.92355,0.90099,0.27592,0.29766,15.56444,11.44444,15.71703,19.53185,146.33626,205.54218,281.38901,281.01807,277.28717,276.06506,274.95911,275.32129,-239,-13.625,66.4583333333333
"216",0,0.83792,0.63614,0.29379,1.96974,1.2267,0.30712,10.68148,10.68148,12.36,14.49629,59.5111,92.1659,282.24536,282.12912,278.61667,277.05374,275.68338,275.90121,-89,-18.2916666666667,66.375
"217",0,1.00012,0.80884,0.3007,0.88851,0.67635,0.24776,10.98666,10.83407,13.58074,15.86963,57.22221,79.65331,282.19797,281.95737,278.53873,276.96783,275.68625,275.73682,-70,-17.875,66.375
"218",0,0.87346,0.58819,0.29467,1.23533,0.45122,0.26564,10.83407,10.68148,13.58074,15.10666,84.53628,130.77182,282.24646,282.00189,278.64639,276.97894,275.69601,275.71646,-115,-17.7916666666667,66.375
"219",0,0.81368,0.53748,0.31638,1.51657,0.43429,0.26562,10.68148,10.68148,12.97037,14.49629,131.53477,220.49625,282.30023,282.06607,278.77133,277.00339,275.70679,275.6806,-243,-17.7083333333333,66.375
"220",0,0.81605,0.50491,0.35008,1.60423,0.40811,0.27039,10.68148,10.68148,12.81777,14.3437,137.02811,236.67105,282.35315,282.15253,278.88126,277.04745,275.7128,275.63641,-274,-17.625,66.375
"221",0,0.77759,0.53281,0.37795,1.27113,0.39345,0.28183,10.68148,10.68148,12.81777,14.19111,125.88885,223.5481,282.39038,282.22028,278.96344,277.10541,275.71027,275.5889,-252,-17.5416666666667,66.375
"222",0,0.50487,0.42468,1.06003,0.62984,0.25186,0.30806,13.42814,11.44444,14.80148,18.15851,145.4207,202.9481,281.53647,281.1073,277.35205,276.24081,274.9628,275.26038,-149,-13.9583333333333,66.375
"223",0,1.14517,0.69495,0.35262,1.67088,0.96452,0.25276,10.68148,10.68148,12.2074,13.58074,74.15998,168.30959,282.32877,282.15378,278.73093,277.24374,275.67593,275.97406,-176,-18.375,66.2916666666667
"224",0,0.90007,0.6546,0.29514,1.92513,1.48639,0.28697,10.52889,10.52889,12.36,13.88592,43.94666,63.02073,282.32004,282.23541,278.55731,277.3252,275.7037,275.6994,-76,-18.125,66.2916666666667
"225",0,0.9989,0.59898,0.28202,1.36408,1.45486,0.27254,10.52889,10.52889,12.36,14.64889,44.25184,59.66369,282.30573,282.21881,278.51801,277.28998,275.69797,275.64465,-62,-18.0416666666667,66.2916666666667
"226",0,0.90486,0.61361,0.39453,1.53595,1.39635,0.27697,10.68148,10.68148,12.51259,15.71703,45.31999,62.41035,282.31836,282.20465,278.53128,277.23877,275.68686,275.60907,-61,-17.9583333333333,66.2916666666667
"227",0,1.52103,1.22812,1.55543,0.36589,0.28164,0.27264,12.97037,12.05481,14.3437,28.07703,81.78961,110.32442,282.67639,281.90225,279.28622,278.84879,278.20212,277.98929,-140,-25.2916666666667,66.2083333333333
"228",0,1.52742,1.28802,1.63626,0.37322,0.29981,0.26921,12.81777,11.90222,14.19111,26.85629,80.11109,102.69479,282.62363,281.85526,279.23932,278.73077,278.0675,277.7601,-135,-25.2083333333333,66.2083333333333
"229",0,1.371,1.6052,1.85322,0.54112,0.29705,0.23289,12.66518,11.74963,14.3437,22.12592,73.09184,93.69183,282.83752,281.78992,279.23071,278.07245,277.19574,276.47525,-92,-24.875,66.2083333333333
"230",0,1.34469,1.62995,1.9156,0.60615,0.32491,0.23289,12.66518,11.59703,14.19111,21.82074,72.63406,93.84442,282.9451,281.85123,279.2818,277.94458,276.93121,276.23935,-86,-24.7916666666667,66.2083333333333
"231",0,1.40373,1.58166,1.69708,0.77851,0.34172,0.26515,12.66518,11.59703,13.73333,21.51555,67.29332,89.41924,283.04169,281.91821,279.34003,277.84238,276.69302,276.08353,-86,-24.7083333333333,66.2083333333333
"232",0,1.41266,1.63608,1.83207,0.97583,0.36154,0.27722,12.66518,11.59703,13.58074,21.51555,63.93628,84.68887,283.11517,281.96582,279.41238,277.76874,276.50525,276.01059,-84,-24.625,66.2083333333333
"233",0,0.96776,0.75992,0.35892,0.83554,0.57186,0.24021,10.52889,10.68148,11.90222,13.88592,59.66369,104.67849,282.36713,282.12082,278.86951,277.23438,275.78287,275.93835,-197,-18.4583333333333,66.2083333333333
"234",1,0.53632,0.42152,1.10372,0.3442,0.24065,0.21443,12.05481,10.83407,12.81777,15.41185,86.51998,112.15553,281.47842,280.95132,277.41852,276.21082,275.05679,275.32678,-206,-13.7916666666667,66.2083333333333
"235",0,1.16455,1.18109,1.41363,0.37727,0.26086,0.29941,12.97037,12.05481,14.3437,26.7037,86.82516,111.08738,282.8815,281.95175,279.55054,278.85831,278.13974,277.79623,-143,-25.375,66.125
"236",0,1.27676,1.34036,1.51865,0.40085,0.24291,0.27221,12.81777,12.05481,14.19111,25.02518,81.63702,102.99998,282.81949,281.92371,279.47552,278.75671,277.99615,277.60394,-112,-25.2916666666667,66.125
"237",0,0.8564,0.84119,0.57089,0.59188,0.62072,0.29926,10.52889,10.52889,12.2074,14.03852,37.07999,69.12443,282.50558,281.98251,279.00027,277.28265,275.89566,275.69434,-87,-18.375,66.125
"238",1,0.48747,0.4874,0.99182,0.34158,0.23811,0.18728,12.36,10.83407,12.97037,15.25926,75.99109,99.64294,281.43365,280.71124,277.44354,276.16965,275.04788,275.40741,-101,-13.7916666666667,66.125
"239",1,0.5569,0.475,0.89316,0.35497,0.24672,0.24602,12.66518,10.98666,13.42814,16.17481,85.60442,115.51257,281.37494,280.64798,277.46167,276.14771,275.06097,275.47333,-115,-13.7083333333333,66.125
