fid,PA,bat,mlotst_158,mlotst_157,mlotst_156,mlotst_155,mlotst_154,mlotst_153,sst_1508,sst_1507,sst_1506,sst_1505,sst_1504,sst_1503,chlor_1508,chlor_1507,chlor_1506,chlor_1505,chlor_1504,chlor_1503,Lat,Long
"89",0,-1421,26.09333,14.3437,16.02222,15.86963,28.99259,48.98221,275.00073,274.61789,273.17023,,,272.26825,0.42979,0.46753,0.79534,0.27317,0.2465,0.24794,67.7083333333333,-24.375
"90",0,-1214,26.7037,14.19111,12.97037,15.56444,19.68444,41.19999,275.65417,275.20728,273.66159,272.8573,,272.50281,0.45332,0.52902,0.71733,0.47481,0.25624,0.26537,67.7083333333333,-23.9583333333333
"91",1,-997,31.58666,15.41185,12.51259,15.10666,20.29481,54.47554,276.40771,276.99222,275.52231,274.04163,272.99179,273.2579,0.41547,0.54092,0.80964,0.70385,0.25678,0.26849,67.7083333333333,-23.625
"92",0,-803,22.88888,17.85333,15.10666,24.41481,125.43108,136.87552,279.02563,279.59024,277.71414,276.27655,274.89154,274.79211,0.56969,1.1148,0.65592,0.30786,0.29081,0.30217,67.7083333333333,-21.2916666666667
"93",0,-552,24.87259,18.31111,13.88592,53.10221,152.89774,176.54959,279.69958,279.98224,278.04749,276.57999,275.55777,275.46234,0.6462,1.1346,0.81028,0.6076,0.31235,0.3208,67.7083333333333,-18.9583333333333
"94",0,-1014,14.64889,18.31111,17.24296,43.0311,129.39848,166.17329,279.91357,279.85214,277.11133,275.11166,274.22702,274.36761,0.27629,0.79104,1.11666,1.6426,0.61304,0.32803,67.7083333333333,-16.7916666666667
"95",0,-987,13.27555,14.95407,16.17481,54.93332,89.11405,113.07108,280.21109,279.43387,277.08997,275.14822,274.45053,274.59659,0.37915,0.61327,0.86404,1.03017,0.43943,0.22891,67.7083333333333,-15.0416666666667
"96",0,-408,17.70074,11.74963,12.97037,16.02222,20.90518,25.78814,275.84485,274.6972,,,,271.56226,0.39197,0.66154,0.26651,,,0.27672,67.625,-25.9583333333333
"97",0,-1214,27.00888,14.64889,13.12296,15.25926,19.22666,44.40443,275.25464,274.57983,273.66965,273.2244,272.48242,272.46078,0.45515,0.5693,1.05564,0.48604,0.25608,0.27643,67.625,-24.2916666666667
"98",1,-1175,27.77184,14.64889,13.12296,15.25926,19.07407,44.86221,275.39722,274.75137,273.94263,273.55707,272.61636,272.4314,0.46104,0.60622,1.16827,0.54496,0.25106,0.27254,67.625,-24.2083333333333
"99",1,-1183,28.53481,13.88592,12.81777,14.95407,19.53185,48.82962,275.59756,275.09586,274.1597,273.57874,272.68555,272.48987,0.46353,0.5447,1.46634,0.62765,0.24871,0.26378,67.625,-24.125
"100",1,-1124,29.14518,14.3437,12.51259,14.95407,19.68444,51.42369,275.82739,275.56848,274.42868,273.64575,272.72467,272.58325,0.4557,0.52228,1.672,0.85569,0.24772,0.22949,67.625,-24.0416666666667
"101",1,-955,36.62221,16.3274,13.88592,17.24296,23.04148,53.71258,276.72861,278.00629,275.69766,274.44461,273.58737,273.52014,0.46493,0.4909,1.2861,1.01083,0.2507,0.2417,67.625,-23.7083333333333
"102",1,-907,38.75851,16.93777,14.64889,18.15851,24.10962,55.3911,276.91867,278.47144,275.98325,274.8497,273.95575,273.80658,0.44648,0.42951,1.01503,0.97223,0.25538,0.25516,67.625,-23.625
"103",0,-745,23.19407,17.39555,14.80148,22.27851,143.28441,102.99998,279.58588,279.63998,277.90768,276.54324,275.23257,274.88742,0.63818,0.98561,1.33953,0.3041,0.30748,0.29705,67.625,-21.2916666666667
