fid,PA,bat,mlotst_158,mlotst_157,mlotst_156,mlotst_155,mlotst_154,mlotst_153,sst_1508,sst_1507,sst_1506,sst_1505,sst_1504,sst_1503,chlor_1508,chlor_1507,chlor_1506,chlor_1505,chlor_1504,chlor_1503,Lat,Long
"125",0,-296,36.77481,31.12888,21.05777,38.30073,111.39256,129.85626,280.36642,280.09186,279.0704,278.06204,277.31534,276.92868,0.56188,1.57256,1.3741,0.26634,0.29059,0.28547,67.2916666666667,-21.2916666666667
"126",0,-477,23.49925,23.49925,17.09037,56.00147,131.2296,148.47255,280.69095,280.35147,278.61575,277.05316,276.3436,275.92926,0.87731,0.64437,0.73485,0.47345,0.32924,0.34533,67.2916666666667,-18.9583333333333
"127",0,-638,16.78518,20.4474,18.61629,56.30665,162.66367,210.42514,280.50519,280.40369,277.83536,275.8537,275.62918,275.61633,0.57898,0.52662,0.39327,2.64425,0.32171,0.25118,67.2916666666667,-16.7083333333333
"128",0,-721,18.31111,10.83407,11.13926,13.73333,19.22666,39.52147,275.53479,275.5434,274.29813,,,271.49966,0.34176,1.19513,0.55047,0.2486,0.21051,0.27153,67.2083333333333,-26.2083333333333
"129",0,-267,37.07999,34.7911,26.5511,61.18961,125.27849,160.0696,280.56741,280.13663,279.21979,278.14706,277.44989,277.12189,0.81725,1.26802,2.02897,0.27398,0.26411,0.25285,67.2083333333333,-21.2916666666667
"130",0,-459,21.97333,23.04148,18.00592,75.38072,154.42366,159.61182,280.73004,280.52942,278.69995,277.08011,276.39114,275.9136,0.95229,0.78967,0.54935,0.73346,0.31815,0.2904,67.2083333333333,-18.9583333333333
"131",0,-497,17.24296,20.14222,18.76888,76.44887,182.5007,239.11253,280.71402,280.48529,278.06735,276.00958,275.79953,275.80402,0.83236,0.53793,0.58891,2.12296,0.30803,0.2604,67.2083333333333,-16.7083333333333
"132",0,-251,37.99554,25.48296,19.68444,57.98517,52.33924,94.3022,279.45786,279.94604,278.7027,278.34366,276.78925,277.68668,0.57692,1.02608,3.06294,0.24989,0.24768,0.29631,67.125,-23.5416666666667
"133",0,-230,34.33332,29.45036,33.11258,100.25331,145.4207,171.66663,280.63904,280.12753,279.31097,278.16302,277.59052,277.01303,0.90544,1.29443,1.72306,0.28144,0.25454,0.29292,67.125,-21.2916666666667
"134",0,-452,21.36296,23.19407,18.00592,87.28294,154.72885,168.76736,280.7872,280.65228,278.81204,277.04919,276.49094,275.90659,0.9038,0.94585,0.66245,1.01874,0.31724,0.28532,67.125,-18.9583333333333
"135",0,-382,17.24296,18.61629,18.92148,99.49035,192.57181,272.5303,280.8541,280.62027,278.32144,276.15515,275.84143,275.93677,0.77088,0.56836,0.66938,1.13484,0.26891,0.25365,67.125,-16.625
"136",0,-234,36.16444,26.39851,24.41481,88.04591,82.39998,111.69775,280.02695,280.15033,278.91367,278.45444,277.62283,278.07227,0.79037,1.18896,3.10055,0.2873,0.24528,0.27007,67.0416666666667,-23.5416666666667
"137",0,-194,30.21333,21.97333,31.73925,108.95108,116.12293,146.79404,280.65564,280.09302,279.32211,278.06937,277.78568,276.7626,1.2247,1.24566,1.33852,0.45094,0.25357,0.363,67.0416666666667,-21.2916666666667
"138",0,-501,20.4474,23.34666,17.85333,84.84146,143.89478,166.78366,280.90378,280.69492,278.91327,277.05173,276.59286,275.9375,1.02865,1.09632,0.69043,1.31737,0.30451,0.2919,67.0416666666667,-18.9583333333333
"139",0,-315,15.86963,16.63259,17.85333,116.73331,180.82217,264.74808,280.94992,280.70447,278.47513,276.22324,275.85593,276.03122,0.81879,0.70497,0.50239,1.22309,0.26887,0.28068,67.0416666666667,-16.625
"140",0,-210,35.85925,25.33036,28.53481,99.03257,135.65479,145.4207,280.50696,280.22131,279.02844,278.32153,278.09787,278.01816,0.90782,1.23767,3.27207,0.40635,0.21962,0.26134,66.9583333333333,-23.5416666666667
"141",0,-155,28.38222,20.75259,28.22962,79.80591,83.46812,122.83701,280.73312,280.06757,279.28375,277.91168,277.80206,276.53937,1.44366,1.04174,0.85405,0.56708,0.26502,0.37841,66.9583333333333,-21.2916666666667
"142",0,-407,19.98962,24.5674,18.15851,95.06516,148.31996,179.14366,281.03708,280.66434,278.96808,277.11917,276.70224,276.01126,1.12248,0.9775,0.6382,1.02846,0.29915,0.27539,66.9583333333333,-18.9583333333333
"143",0,-221,14.64889,15.56444,16.3274,99.18516,135.19701,206.61032,281.20975,280.68887,278.58905,276.13892,275.80002,276.08481,0.76767,0.54358,0.5165,2.5655,0.25803,0.26874,66.9583333333333,-16.625
"144",0,-721,17.54814,17.39555,15.71703,81.17924,136.72293,127.26219,280.89557,280.40884,277.33929,275.89368,275.61572,275.39624,0.39,0.3811,1.08173,0.52553,0.27789,0.28831,66.9583333333333,-13.4583333333333
"145",0,-780,17.24296,16.63259,15.41185,72.32887,121.61626,111.23997,280.86075,280.3837,277.29373,275.84091,275.52493,275.24265,0.38719,0.39313,1.43367,0.44177,0.29707,0.30763,66.9583333333333,-13.375
"146",0,-908,16.93777,16.02222,14.80148,61.4948,107.73035,100.25331,280.82327,280.34821,277.26028,275.78387,275.41669,275.08435,0.3778,0.40631,1.64015,0.428,0.341,0.34501,66.9583333333333,-13.2916666666667
"147",0,-1238,16.48,15.56444,14.19111,48.67702,95.21775,95.21775,280.78387,280.31003,277.23541,275.71982,275.29889,274.92239,0.37138,0.40019,1.51967,0.56269,0.45669,0.38115,66.9583333333333,-13.2083333333333
"148",0,-1396,15.71703,15.10666,13.88592,35.85925,83.62072,92.01331,280.74777,280.26782,277.21597,275.66284,275.18723,274.76224,0.3483,0.40382,1.13477,0.55668,0.49626,0.42681,66.9583333333333,-13.125
"149",0,-1431,15.10666,14.80148,13.73333,28.07703,74.77036,88.04591,280.72028,280.2269,277.20145,275.5968,275.09433,274.60248,0.33208,0.4,1.02444,0.58756,0.49742,0.32963,66.9583333333333,-13.0416666666667
"150",0,-1450,14.64889,14.49629,13.58074,23.34666,66.98813,83.31554,280.70154,280.19043,277.18732,275.54529,275.02249,274.45032,0.31144,0.34623,0.96643,0.64393,0.52447,0.26366,66.9583333333333,-12.9583333333333
"151",0,-1462,14.3437,14.03852,13.42814,20.90518,60.73184,78.89035,280.69113,280.15845,277.16818,275.48254,274.94949,274.30704,0.30294,0.28591,0.84258,0.73061,0.52233,0.29729,66.9583333333333,-12.875
"152",0,-1465,14.19111,13.73333,13.42814,21.51555,57.52739,78.73775,280.68634,280.12921,277.14804,275.42899,274.87592,274.1813,0.31517,0.31118,0.65615,0.55887,0.57519,0.42262,66.9583333333333,-12.7916666666667
"153",0,-1523,14.19111,11.44444,13.42814,33.11258,59.20591,87.89331,280.73584,279.95248,277.27997,275.16357,274.37924,273.65402,0.27931,0.51656,1.15701,1.03052,1.02664,0.26498,66.9583333333333,-12.0416666666667
"154",0,-1522,14.03852,11.29185,13.42814,34.48592,58.59554,86.97775,280.75748,279.92609,277.26682,275.11731,274.40384,273.60883,0.25636,0.45155,1.06934,1.10557,1.196,0.29653,66.9583333333333,-11.9583333333333
"155",0,-1523,14.03852,11.13926,13.42814,35.70666,57.3748,86.21479,280.77545,279.8963,277.24847,275.06445,274.42493,273.56726,0.25065,0.41382,0.93621,0.9688,1.25536,0.27233,66.9583333333333,-11.875
"156",0,-1529,13.88592,11.13926,13.27555,36.9274,57.06961,86.0622,280.78741,279.86728,277.22821,275.00964,274.43347,273.53326,0.2493,0.35984,0.87867,0.86911,1.29178,0.25967,66.9583333333333,-11.7916666666667
"157",0,-1547,13.73333,11.13926,13.12296,37.69036,57.22221,86.0622,280.7951,279.83963,277.20477,274.94531,274.423,273.50479,0.24936,0.32738,1.00627,0.86855,1.25893,0.24789,66.9583333333333,-11.7083333333333
"158",0,-1556,13.42814,11.13926,13.12296,37.84295,57.52739,85.90961,280.80182,279.81348,277.17288,274.88318,274.38651,273.4834,0.24274,0.34335,1.28359,0.96326,1.31469,0.23107,66.9583333333333,-11.625
"159",0,-1548,13.27555,11.13926,13.12296,37.69036,57.83258,86.51998,280.81006,279.78674,277.1402,274.82724,274.32898,273.46744,0.24389,0.36436,1.59286,1.07622,1.31912,0.23588,66.9583333333333,-11.5416666666667
"160",0,-1538,13.12296,11.29185,13.27555,37.53777,57.83258,86.82516,280.82022,279.7652,277.10077,274.78107,274.25082,273.45905,0.25059,0.37424,1.71247,1.17832,1.30074,0.24098,66.9583333333333,-11.4583333333333
"161",0,-1529,13.12296,11.29185,13.27555,37.38518,57.98517,87.43553,280.82947,279.74136,277.06177,274.76144,274.16281,273.45901,0.24251,0.36931,1.32137,1.4724,1.38313,0.26079,66.9583333333333,-11.375
"162",0,-1531,13.27555,11.44444,13.27555,37.23258,58.29036,88.19849,280.84094,279.7233,277.02292,274.76263,274.08328,273.46866,0.23368,0.36245,0.80723,2.02752,1.40503,0.26761,66.9583333333333,-11.2916666666667
"163",0,-1516,13.58074,11.44444,13.27555,36.9274,59.35851,88.65627,280.85477,279.70441,276.98764,274.77859,274.01382,273.48605,0.22318,0.33321,0.90336,2.35233,1.54932,0.25037,66.9583333333333,-11.2083333333333
"164",0,-1510,13.58074,11.59703,13.12296,36.31703,59.96888,88.65627,280.87134,279.68921,276.95813,274.80804,273.96759,273.51425,0.22153,0.32302,1.39077,2.3361,1.56096,0.26547,66.9583333333333,-11.125
"165",0,-1509,13.73333,11.74963,13.12296,35.55407,60.57924,88.50368,280.8924,279.67401,276.94156,274.84534,273.93817,273.55032,0.21657,0.30909,1.72627,2.23766,1.48213,0.29523,66.9583333333333,-11.0416666666667
"166",0,-1501,13.58074,11.90222,13.12296,34.63851,61.34221,88.04591,280.91525,279.66223,276.9364,274.87177,273.91534,273.58533,0.2223,0.28159,2.39353,1.95663,1.44558,0.3698,66.9583333333333,-10.9583333333333
"167",0,-1482,13.27555,12.36,12.97037,30.21333,63.78369,94.75998,280.97839,279.63736,276.96701,274.88687,273.86383,273.69263,0.19594,0.22587,3.11781,1.21977,1.75297,0.32006,66.9583333333333,-10.7083333333333
"168",0,-1454,12.97037,12.2074,12.97037,30.36592,64.24146,99.18516,280.99133,279.63599,276.98007,274.86072,273.85025,273.72223,0.18839,0.21444,3.23359,1.26867,1.73284,0.27071,66.9583333333333,-10.625
"169",0,-1426,12.97037,12.2074,13.12296,30.8237,63.78369,103.45775,281.00177,279.63565,276.99002,274.82935,273.83658,273.74802,0.20435,0.2216,3.35827,2.07897,1.53707,0.25405,66.9583333333333,-10.5416666666667
"170",0,-1405,12.81777,12.2074,13.12296,31.28147,63.02073,106.20441,281.00607,279.64279,276.99899,274.80078,273.82593,273.77213,0.20074,0.20712,2.68495,1.98431,1.37611,0.26206,66.9583333333333,-10.4583333333333
"171",0,-1391,12.97037,12.05481,13.12296,31.43407,62.25776,108.6459,281.00745,279.64575,277.00461,274.76883,273.81696,273.79803,0.19651,0.20555,2.64438,1.58066,1.30048,0.2793,66.9583333333333,-10.375
"172",0,-1396,13.12296,12.2074,13.12296,31.28147,63.17332,112.00294,281.00708,279.65363,277.00522,274.74661,273.81506,273.82446,0.19453,0.21264,2.94055,1.26717,1.27755,0.28491,66.9583333333333,-10.2916666666667
"173",0,-1457,13.27555,12.2074,13.12296,31.73925,65.00443,115.35997,281.0087,279.66006,277.00867,274.73615,273.81821,273.85162,0.19782,0.21784,2.72179,1.37069,1.25182,0.26732,66.9583333333333,-10.2083333333333
"174",0,-1502,13.42814,12.2074,13.12296,32.50221,68.97183,117.19109,281.01437,279.67084,277.01733,274.73123,273.83508,273.87738,0.19109,0.22344,2.91177,1.13471,0.98447,0.28307,66.9583333333333,-10.125
"175",0,-1501,13.27555,11.74963,12.97037,36.9274,87.74072,123.75256,281.08249,279.71741,277.08569,274.75858,273.91611,273.91605,0.19967,0.24618,2.63007,0.87575,0.87459,0.27767,66.9583333333333,-9.875
"176",0,-1514,13.12296,11.59703,12.97037,37.38518,91.70812,126.34663,281.12003,279.73782,277.1319,274.77115,273.94034,273.91354,0.21471,0.26909,2.22968,0.93379,0.99413,0.25695,66.9583333333333,-9.79166666666667
"177",0,-1516,13.12296,11.44444,12.81777,38.14814,93.23405,127.41478,281.1593,279.75635,277.18781,274.80405,273.96033,273.90381,0.20824,0.29389,2.90405,0.81745,0.82466,0.24524,66.9583333333333,-9.70833333333334
"178",0,-1556,13.12296,11.29185,12.97037,37.84295,94.45479,131.53477,281.19846,279.77701,277.2587,274.84262,273.97528,273.89246,0.20532,0.29252,2.63962,0.76634,0.75804,0.2428,66.9583333333333,-9.625
"179",0,-1562,13.12296,11.13926,12.97037,36.62221,94.45479,133.97626,281.23593,279.79282,277.33588,274.89218,273.98627,273.8815,0.20042,0.28415,2.12448,0.60522,0.69558,0.24154,66.9583333333333,-9.54166666666667
"180",0,-1549,13.12296,11.13926,13.12296,35.40147,94.45479,135.50218,281.26315,279.80942,277.41815,274.95267,273.99561,273.8761,0.19634,0.26658,1.58462,0.32417,0.63968,0.23309,66.9583333333333,-9.45833333333334
"181",0,-1570,13.12296,11.13926,13.12296,34.63851,96.13331,137.3333,281.28751,279.8378,277.50674,275.01944,274.00656,273.87457,0.20566,0.27836,1.18092,0.27995,0.54367,0.21676,66.9583333333333,-9.375
"182",0,-1583,12.97037,11.29185,13.27555,34.18073,102.3896,137.79108,281.30716,279.87216,277.60629,275.09357,274.01877,273.87772,0.21006,0.32224,1.10464,0.29548,0.40945,0.21278,66.9583333333333,-9.29166666666667
"183",1,-1594,12.81777,11.44444,13.58074,33.72295,105.89923,137.94366,281.32825,279.91165,277.71613,275.16061,274.02917,273.89017,0.20874,0.35786,1.07872,0.30432,0.32981,0.21287,66.9583333333333,-9.20833333333334
"184",0,-1625,12.81777,11.74963,13.88592,33.87555,109.25627,137.94366,281.35956,279.9566,277.83658,275.22302,274.04053,273.90759,0.22811,0.37241,1.04729,0.29118,0.28823,0.21923,66.9583333333333,-9.125
"185",0,-1662,12.66518,12.36,14.19111,34.63851,117.34367,138.09627,281.40201,280.00256,277.95807,275.27509,274.05005,273.93082,0.24603,0.35813,0.91567,0.33332,0.27015,0.21954,66.9583333333333,-9.04166666666667
"186",0,-1668,12.51259,12.81777,14.49629,35.85925,119.17478,135.80737,281.45782,280.05069,278.07025,275.32962,274.06345,273.95905,0.2431,0.36135,1.31599,0.35681,0.28843,0.21323,66.9583333333333,-8.95833333333334
"187",0,-180,35.85925,22.88888,37.38518,115.66515,130.61923,148.62515,280.46451,280.26859,279.03342,278.09396,278.03146,277.7124,0.86422,1.39329,2.31496,0.75358,0.23117,0.28107,66.875,-23.4583333333333
"188",0,-122,26.39851,20.14222,21.05777,56.15406,70.19257,98.57479,280.80893,280.08237,279.21869,277.80093,277.57214,276.35013,1.15274,1.08661,0.99404,0.39243,0.32266,0.50126,66.875,-21.2916666666667
"189",0,-518,19.53185,25.33036,18.4637,83.9259,153.20293,176.2444,281.1012,280.60193,279.03247,277.21259,276.79819,276.069,1.21524,1.02472,0.88375,1.72746,0.30695,0.28747,66.875,-18.9583333333333
"190",0,-186,13.73333,15.56444,15.41185,81.02665,116.58071,171.81921,281.50577,280.64188,278.60742,276.01279,275.74762,276.08249,0.66374,0.4445,0.61419,2.63941,0.29132,0.29281,66.875,-16.625
"191",0,-190,30.6711,20.75259,29.60295,87.28294,93.53924,105.74664,280.48065,280.32019,278.93524,277.707,277.89594,277.33554,1.10278,1.52909,1.55207,1.22474,0.23376,0.30694,66.7916666666667,-23.4583333333333
"192",0,-78,24.10962,19.37926,18.31111,41.96295,71.26072,88.80887,280.88986,280.16284,279.15714,277.80719,277.33633,276.24246,1.83129,1.23785,1.41758,0.35995,0.41345,0.45178,66.7916666666667,-21.2916666666667
"193",0,-526,18.4637,24.26222,18.31111,74.46516,154.57626,186.77328,281.11148,280.52298,279.12381,277.29776,276.83231,276.0788,1.27429,1.287,1.07176,2.18065,0.29543,0.2843,66.7916666666667,-18.9583333333333
"194",0,-123,11.90222,14.49629,13.58074,53.10221,78.58517,111.54516,281.63928,280.70349,278.66251,275.9902,275.74466,276.05267,0.59327,0.47219,0.65579,1.6646,0.32235,0.29124,66.7916666666667,-16.7916666666667
"195",1,-163,12.36,15.10666,14.49629,71.41331,106.66219,157.7807,281.72791,280.65967,278.52701,275.98874,275.76199,276.01813,0.60129,0.43797,0.67138,1.99948,0.33148,0.31239,66.7916666666667,-16.625
"196",0,-134,28.07703,20.14222,20.90518,55.08591,70.03999,87.89331,280.62894,280.42484,278.89142,277.14545,277.54257,276.77512,1.01019,1.59484,1.14108,1.7958,0.33806,0.3965,66.7083333333333,-23.4583333333333
"197",0,-127,23.04148,19.22666,17.39555,37.23258,127.56738,144.81033,280.99988,280.25699,279.2561,277.94629,277.50378,276.34512,1.40691,1.13147,1.74086,0.47094,0.33458,0.45474,66.7083333333333,-21.2083333333333
"198",0,-404,16.93777,23.65185,18.31111,78.43257,144.50514,215.46069,281.20078,280.45682,279.23721,277.32666,276.79034,276.0802,1.45006,1.25784,0.81761,2.02797,0.29773,0.26483,66.7083333333333,-18.9583333333333
"199",0,-88,11.59703,14.19111,12.81777,40.28444,58.74813,82.70516,281.89401,280.76645,278.59534,276.16678,275.77765,275.92526,0.56782,0.56021,0.66438,1.64175,0.36231,0.30938,66.7083333333333,-16.7083333333333
"200",0,-74,27.31407,21.21037,19.53185,45.31999,57.52739,77.36443,280.76953,280.58667,278.90973,276.66324,276.94672,276.08847,0.71916,1.77541,0.97047,1.79496,0.44841,0.53258,66.625,-23.375
"201",1,-193,24.10962,20.4474,19.98962,52.03406,166.47847,183.26366,281.12482,280.30771,279.35794,278.01016,277.65347,276.37262,1.03265,1.10657,1.33528,0.39253,0.29603,0.4083,66.625,-21.2083333333333
"202",1,-450,16.3274,22.88888,18.00592,90.79257,149.84589,245.06364,281.41617,280.37021,279.3063,277.28979,276.65463,276.11539,1.35507,1.09056,0.63376,1.70248,0.32913,0.25675,66.625,-18.9583333333333
"203",0,-76,27.61925,20.90518,18.31111,40.13184,45.62518,63.93628,280.99304,280.75299,278.97556,276.66159,276.66891,275.7905,0.82658,1.88124,1.12833,1.34337,0.60756,0.55424,66.5416666666667,-23.375
"204",1,-281,23.19407,20.75259,20.75259,64.24146,177.46513,206.61032,281.26874,280.30563,279.41235,278.0054,277.71683,276.35434,1.36381,1.07233,1.22514,0.45174,0.28792,0.37225,66.5416666666667,-21.2083333333333
"205",1,-470,15.86963,22.12592,17.54814,99.03257,159.00145,261.23846,281.64001,280.30029,279.34479,277.19397,276.52991,276.14401,1.25267,0.89148,0.65028,1.82763,0.36453,0.26349,66.5416666666667,-18.9583333333333
"206",0,-675,34.9437,23.95703,26.5511,44.55703,40.43703,59.05332,279.62311,280.16891,277.77982,277.66455,277.36246,276.6586,0.58434,1.48369,2.82897,0.22834,0.22476,0.22907,66.4583333333333,-26.0416666666667
"207",0,-58,20.14222,16.93777,16.63259,39.06369,48.06665,72.78665,280.7706,279.71906,278.85541,276.3746,275.57593,275.07571,0.83865,0.77846,1.29233,0.82151,0.51583,0.5794,66.4583333333333,-22.0416666666667
"208",0,-92,20.14222,16.93777,16.93777,42.57332,54.93332,85.14664,280.71448,279.64807,278.81122,276.48126,275.70999,275.14902,0.86409,,1.19873,0.66156,0.49832,0.51832,66.4583333333333,-21.9583333333333
"209",0,-70,21.36296,17.09037,17.85333,45.47258,60.27406,91.55553,280.72244,279.6124,278.81625,276.61731,275.87405,275.22794,1.22648,,1.18801,0.69046,0.47293,0.53769,66.4583333333333,-21.875
"210",0,-86,21.97333,16.78518,17.85333,44.86221,61.18961,91.55553,280.7601,279.61795,278.85056,276.7717,276.06638,275.31131,1.21806,,1.20927,0.7275,0.44527,0.54495,66.4583333333333,-21.7916666666667
"211",0,-76,22.12592,16.3274,17.54814,43.0311,60.88443,90.1822,280.81354,279.64969,278.89944,276.94446,276.27631,275.41333,1.26764,,1.16476,0.70847,0.44122,0.53302,66.4583333333333,-21.7083333333333
"212",1,-239,21.21037,20.14222,19.22666,65.91998,132.29774,161.9007,281.34225,280.34064,279.40363,277.92419,277.55099,276.2186,1.36678,1.12573,1.50645,0.50172,0.30031,0.38588,66.4583333333333,-21.2083333333333
"213",0,-389,15.10666,20.90518,17.39555,116.73331,176.2444,318.15549,281.64862,280.2724,279.34839,277.08405,276.44629,276.09341,0.75094,0.89444,0.99923,1.94303,0.38599,0.31441,66.4583333333333,-18.9583333333333
"214",1,-609,37.23258,25.63555,44.25184,78.43257,128.02515,216.98662,280.62564,280.3407,278.10159,278.33591,278.3223,277.85675,0.59653,1.52928,3.73832,0.22141,0.23092,0.25557,66.375,-26.0416666666667
"215",0,-54,19.68444,14.95407,16.78518,36.62221,46.38814,69.58221,280.70639,279.61792,278.71646,276.57794,275.90277,275.1423,1.05048,0.86943,1.17753,0.87799,0.48667,0.54052,66.375,-21.625
"216",0,-58,19.53185,15.10666,16.78518,37.69036,54.62814,80.87405,280.7731,279.70697,278.79257,276.84216,276.17041,275.31186,1.09629,,1.12903,0.77268,0.47785,0.53606,66.375,-21.5416666666667
"217",0,-199,18.92148,19.22666,17.54814,61.34221,103.45775,140.99551,281.32477,280.36548,279.34564,277.79727,277.31586,276.00357,1.59183,1.35984,1.25265,0.55132,0.3348,0.39953,66.375,-21.2083333333333
"218",0,-528,30.06073,22.5837,56.45924,133.97626,197.14958,299.99695,281.35565,280.53574,278.92529,278.56479,278.59579,278.47592,0.70433,1.53595,2.50609,0.18157,0.20242,0.22028,66.2916666666667,-26.0416666666667
"219",0,-64,17.85333,15.10666,16.3274,37.38518,52.64443,75.38072,280.71463,279.78732,278.68146,276.80603,276.03766,275.2186,0.96926,0.78515,0.8143,0.73238,0.49832,0.50572,66.2916666666667,-21.4583333333333
"220",0,-163,17.09037,18.4637,16.93777,56.15406,87.28294,125.58367,281.27231,280.25037,279.28561,277.67325,277.09985,275.77139,1.39068,,0.97352,0.44593,0.37181,0.41575,66.2916666666667,-21.2083333333333
"221",0,-460,24.71999,13.58074,14.64889,16.93777,22.12592,37.38518,278.46375,279.50787,276.63651,277.05307,277.78793,277.84918,0.41247,1.13354,2.97342,0.24121,0.24255,0.16764,66.2083333333333,-27.9583333333333
"222",0,-469,24.10962,13.73333,15.41185,18.76888,22.4311,36.77481,278.56622,279.50427,276.79477,277.26297,277.95279,277.89651,0.41929,1.12402,2.727,0.2465,0.24713,0.16533,66.2083333333333,-27.875
"223",0,-396,23.65185,18.4637,49.2874,117.19109,136.41774,214.23994,281.59711,280.93204,279.59293,278.72592,278.58646,278.59247,0.8351,1.57092,1.14353,0.19491,0.19417,0.18899,66.2083333333333,-26.0416666666667
"224",0,-69,16.63259,14.64889,16.02222,37.69036,49.74517,71.87109,280.87946,279.84421,278.95395,277.04233,276.11844,275.26532,0.8237,1.03516,0.85147,0.66298,0.48329,0.52637,66.2083333333333,-21.375
"225",0,-95,16.17481,15.56444,16.17481,44.09925,62.10517,92.77628,281.04816,279.97812,279.15979,277.34277,276.47208,275.43845,1.002,0.95674,0.86446,0.51045,0.47273,0.50714,66.2083333333333,-21.2916666666667
"226",0,-134,15.86963,16.93777,16.48,51.88147,76.75405,117.19109,281.24353,280.15219,279.37079,277.57678,276.81686,275.6076,1.22745,,0.88178,0.42927,0.42157,0.47165,66.2083333333333,-21.2083333333333
"227",0,-481,23.04148,14.64889,17.24296,24.10962,19.98962,38.45332,279.34198,280.09604,277.32388,278.4397,278.33923,278.02182,0.45712,1.04621,3.06958,0.22512,0.24457,0.169,66.125,-27.7916666666667
"228",0,-485,22.27851,14.95407,17.24296,24.10962,20.4474,39.06369,279.46143,280.01071,277.31833,278.46136,278.44656,278.12869,0.45008,1.10257,3.06985,0.23019,0.24423,0.16435,66.125,-27.7083333333333
"229",0,-490,22.88888,14.80148,17.39555,23.49925,20.29481,40.13184,279.61264,279.91428,277.32071,278.53461,278.52499,278.26178,0.42024,1.16576,3.08019,0.23154,0.23458,0.17009,66.125,-27.625
"230",1,-277,23.49925,17.70074,26.5511,88.35109,97.04887,127.1096,281.77545,281.18762,279.75272,278.79358,278.55048,278.5896,0.94924,1.5093,0.69532,0.2081,0.20182,0.18254,66.125,-26.0416666666667
"231",0,-118,15.56444,16.17481,17.09037,47.76147,61.4948,105.59405,281.19785,280.0047,279.32416,277.44324,276.41116,275.42941,1.18256,1.10085,0.8007,0.41911,0.45025,0.4981,66.125,-21.2083333333333
"232",1,-632,32.19703,20.75259,34.33332,57.98517,56.61184,140.07997,281.02798,280.69037,278.18549,278.61456,278.60675,278.83356,0.63975,1.01873,2.20555,0.20147,0.17932,0.15251,66.0416666666667,-27.2916666666667
"233",0,-648,34.02814,20.90518,39.36888,76.75405,83.46812,187.84143,281.25,280.83856,278.40402,278.60452,278.60742,278.87302,0.68523,1.15757,1.90576,0.20305,0.1811,0.15638,66.0416666666667,-27.2083333333333
"234",0,-180,23.80444,17.09037,21.51555,88.50368,122.83701,171.05626,282.01111,281.36267,279.80853,278.7565,278.42062,278.52618,0.9449,1.6111,0.83416,0.22849,0.25525,0.27479,66.0416666666667,-25.9583333333333
"235",0,-61,15.41185,13.88592,14.95407,38.9111,50.05036,76.29628,281.14413,279.927,279.10986,277.19748,275.99689,275.30399,1.25078,1.08885,0.84077,0.51943,0.47593,0.47095,66.0416666666667,-21.2083333333333
"236",0,-921,12.66518,10.68148,12.51259,58.74813,92.77628,101.62664,280.9855,279.38281,277.87582,276.06641,275.57281,275.20792,0.29444,,2.06457,1.39025,0.3473,0.25998,66.0416666666667,-11.375
"237",0,-1005,12.36,10.83407,12.36,52.18665,84.23109,99.33775,280.99368,279.35342,277.87741,276.02512,275.54599,275.18063,0.29798,,2.35486,1.25382,0.34234,0.26215,66.0416666666667,-11.2916666666667
"238",0,-1053,12.05481,11.13926,12.2074,48.52443,77.51702,103.15257,281.01337,279.32852,277.88068,275.98358,275.53122,275.15714,0.291,,2.69528,1.05268,0.33964,0.26164,66.0416666666667,-11.2083333333333
"239",0,-1116,11.74963,11.29185,12.2074,43.48888,74.15998,108.34071,281.04092,279.31152,277.89471,275.95905,275.52618,275.12332,0.2831,,3.00134,0.90521,0.33281,0.25946,66.0416666666667,-11.125
"240",0,-1153,11.74963,11.29185,12.2074,36.46962,74.00739,114.29182,281.07452,279.30621,277.90845,275.94708,275.52121,275.08551,0.27224,,3.18664,1.10648,0.32513,0.2523,66.0416666666667,-11.0416666666667
"241",0,-1173,11.59703,11.13926,12.2074,25.48296,77.97479,121.46368,281.11298,279.31088,277.91766,275.94128,275.51227,275.04813,0.27537,,3.29861,1.166,0.34617,0.25342,66.0416666666667,-10.9583333333333
"242",1,-1201,11.59703,11.13926,12.36,23.49925,82.24739,127.71997,281.15247,279.32001,277.92081,275.93661,275.4866,275.01691,0.26658,,3.1864,1.04202,0.38002,0.25458,66.0416666666667,-10.875
"243",0,-1221,11.59703,11.13926,12.36,23.65185,86.82516,130.61923,281.19562,279.34006,277.90976,275.93463,275.44614,275.00238,0.26199,,3.22087,0.53854,0.39726,0.25547,66.0416666666667,-10.7916666666667
"244",0,-1251,11.74963,11.29185,12.36,24.26222,89.41924,132.75552,281.23645,279.36975,277.8851,275.91422,275.39276,275.01126,0.26139,,3.3398,0.62293,0.38528,0.25527,66.0416666666667,-10.7083333333333
"245",0,-1270,11.59703,11.44444,12.51259,25.17777,89.11405,135.50218,281.27466,279.40497,277.84763,275.88849,275.33389,275.04395,0.2573,,3.31539,0.78789,0.3777,0.24245,66.0416666666667,-10.625
"246",0,-1282,11.74963,11.74963,12.51259,26.09333,88.19849,135.04442,281.30548,279.43451,277.80768,275.85797,275.27924,275.09375,0.24782,,3.29596,1.02495,0.35882,0.24198,66.0416666666667,-10.5416666666667
